# 16O_NNLOsat_PRC101_014318.dat from vittorio.soma@cea.fr 
# r[fm] rho_matter rho_proton rho_neutron rho_charge[fm-3]
0.00 0.14259173 0.07039435 0.07219738 0.07379833 
0.01 0.14259567 0.07039629 0.07219937 0.07379833 
0.02 0.14260748 0.07040212 0.07220535 0.07380172 
0.03 0.14262716 0.07041184 0.07221532 0.07380736 
0.04 0.14265469 0.07042543 0.07222926 0.07381525 
0.05 0.14269005 0.07044288 0.07224717 0.07382539 
0.06 0.14273323 0.07046419 0.07226903 0.07383776 
0.07 0.14278418 0.07048934 0.07229484 0.07385236 
0.08 0.14284288 0.07051832 0.07232456 0.07386917 
0.09 0.14290928 0.07055109 0.07235819 0.07388819 
0.10 0.14298334 0.07058765 0.07239569 0.07390939 
0.11 0.14306501 0.07062796 0.07243705 0.07393276 
0.12 0.14315422 0.07067200 0.07248222 0.07395828 
0.13 0.14325093 0.07071974 0.07253119 0.07398594 
0.14 0.14335506 0.07077114 0.07258392 0.07401570 
0.15 0.14346654 0.07082617 0.07264037 0.07404755 
0.16 0.14358529 0.07088479 0.07270050 0.07408145 
0.17 0.14371124 0.07094697 0.07276427 0.07411740 
0.18 0.14384429 0.07101265 0.07283164 0.07415534 
0.19 0.14398435 0.07108180 0.07290255 0.07419526 
0.20 0.14413134 0.07115436 0.07297697 0.07423712 
0.21 0.14428514 0.07123030 0.07305484 0.07428089 
0.22 0.14444565 0.07130954 0.07313610 0.07432653 
0.23 0.14461276 0.07139205 0.07322071 0.07437401 
0.24 0.14478635 0.07147776 0.07330859 0.07442329 
0.25 0.14496631 0.07156662 0.07339969 0.07447433 
0.26 0.14515251 0.07165856 0.07349395 0.07452709 
0.27 0.14534483 0.07175353 0.07359130 0.07458153 
0.28 0.14554313 0.07185145 0.07369168 0.07463760 
0.29 0.14574727 0.07195226 0.07379501 0.07469525 
0.30 0.14595712 0.07205590 0.07390123 0.07475445 
0.31 0.14617254 0.07216228 0.07401025 0.07481514 
0.32 0.14639336 0.07227135 0.07412201 0.07487728 
0.33 0.14661945 0.07238301 0.07423643 0.07494081 
0.34 0.14685064 0.07249721 0.07435343 0.07500568 
0.35 0.14708678 0.07261385 0.07447292 0.07507184 
0.36 0.14732770 0.07273287 0.07459484 0.07513924 
0.37 0.14757325 0.07285417 0.07471908 0.07520781 
0.38 0.14782325 0.07297768 0.07484557 0.07527751 
0.39 0.14807753 0.07310332 0.07497421 0.07534828 
0.40 0.14833591 0.07323098 0.07510493 0.07542006 
0.41 0.14859822 0.07336060 0.07523762 0.07549279 
0.42 0.14886429 0.07349208 0.07537220 0.07556640 
0.43 0.14913391 0.07362533 0.07550858 0.07564085 
0.44 0.14940692 0.07376026 0.07564665 0.07571606 
0.45 0.14968312 0.07389679 0.07578633 0.07579198 
0.46 0.14996233 0.07403480 0.07592752 0.07586853 
0.47 0.15024434 0.07417422 0.07607012 0.07594566 
0.48 0.15052898 0.07431495 0.07621403 0.07602331 
0.49 0.15081604 0.07445688 0.07635915 0.07610139 
0.50 0.15110532 0.07459993 0.07650539 0.07617986 
0.51 0.15139663 0.07474400 0.07665263 0.07625864 
0.52 0.15168976 0.07488898 0.07680078 0.07633766 
0.53 0.15198452 0.07503479 0.07694974 0.07641686 
0.54 0.15228071 0.07518131 0.07709940 0.07649617 
0.55 0.15257810 0.07532845 0.07724965 0.07657551 
0.56 0.15287651 0.07547611 0.07740040 0.07665482 
0.57 0.15317573 0.07562419 0.07755154 0.07673404 
0.58 0.15347554 0.07577259 0.07770295 0.07681308 
0.59 0.15377575 0.07592120 0.07785455 0.07689188 
0.60 0.15407614 0.07606992 0.07800622 0.07697037 
0.61 0.15437650 0.07621866 0.07815785 0.07704848 
0.62 0.15467663 0.07636730 0.07830934 0.07712613 
0.63 0.15497632 0.07651574 0.07846058 0.07720326 
0.64 0.15527536 0.07666390 0.07861146 0.07727979 
0.65 0.15557353 0.07681165 0.07876189 0.07735565 
0.66 0.15587064 0.07695890 0.07891174 0.07743078 
0.67 0.15616647 0.07710554 0.07906093 0.07750509 
0.68 0.15646081 0.07725149 0.07920933 0.07757853 
0.69 0.15675346 0.07739662 0.07935684 0.07765101 
0.70 0.15704422 0.07754084 0.07950337 0.07772247 
0.71 0.15733286 0.07768406 0.07964880 0.07779283 
0.72 0.15761919 0.07782617 0.07979303 0.07786203 
0.73 0.15790301 0.07796706 0.07993595 0.07792999 
0.74 0.15818411 0.07810665 0.08007747 0.07799664 
0.75 0.15846229 0.07824482 0.08021747 0.07806192 
0.76 0.15873735 0.07838149 0.08035586 0.07812575 
0.77 0.15900908 0.07851655 0.08049253 0.07818807 
0.78 0.15927730 0.07864991 0.08062738 0.07824881 
0.79 0.15954179 0.07878147 0.08076032 0.07830789 
0.80 0.15980238 0.07891114 0.08089124 0.07836526 
0.81 0.16005886 0.07903881 0.08102005 0.07842083 
0.82 0.16031105 0.07916441 0.08114664 0.07847456 
0.83 0.16055874 0.07928782 0.08127092 0.07852636 
0.84 0.16080177 0.07940897 0.08139280 0.07857618 
0.85 0.16103993 0.07952776 0.08151217 0.07862394 
0.86 0.16127305 0.07964410 0.08162896 0.07866959 
0.87 0.16150095 0.07975789 0.08174305 0.07871306 
0.88 0.16172344 0.07986907 0.08185437 0.07875429 
0.89 0.16194035 0.07997753 0.08196282 0.07879322 
0.90 0.16215151 0.08008318 0.08206832 0.07882978 
0.91 0.16235673 0.08018596 0.08217077 0.07886391 
0.92 0.16255586 0.08028577 0.08227009 0.07889555 
0.93 0.16274873 0.08038253 0.08236620 0.07892465 
0.94 0.16293517 0.08047616 0.08245901 0.07895115 
0.95 0.16311502 0.08056659 0.08254843 0.07897498 
0.96 0.16328812 0.08065373 0.08263440 0.07899610 
0.97 0.16345432 0.08073750 0.08271682 0.07901444 
0.98 0.16361346 0.08081784 0.08279563 0.07902996 
0.99 0.16376540 0.08089466 0.08287073 0.07904259 
1.00 0.16390998 0.08096790 0.08294207 0.07905228 
1.01 0.16404706 0.08103749 0.08300957 0.07905900 
1.02 0.16417650 0.08110335 0.08307315 0.07906267 
1.03 0.16429816 0.08116542 0.08313275 0.07906326 
1.04 0.16441192 0.08122363 0.08318829 0.07906071 
1.05 0.16451763 0.08127792 0.08323971 0.07905498 
1.06 0.16461516 0.08132822 0.08328695 0.07904602 
1.07 0.16470440 0.08137447 0.08332994 0.07903379 
1.08 0.16478522 0.08141661 0.08336861 0.07901824 
1.09 0.16485751 0.08145459 0.08340292 0.07899933 
1.10 0.16492114 0.08148834 0.08343279 0.07897701 
1.11 0.16497600 0.08151782 0.08345818 0.07895125 
1.12 0.16502199 0.08154296 0.08347903 0.07892200 
1.13 0.16505900 0.08156371 0.08349529 0.07888924 
1.14 0.16508693 0.08158003 0.08350690 0.07885291 
1.15 0.16510569 0.08159187 0.08351381 0.07881299 
1.16 0.16511516 0.08159918 0.08351598 0.07876944 
1.17 0.16511528 0.08160191 0.08351337 0.07872222 
1.18 0.16510594 0.08160002 0.08350592 0.07867131 
1.19 0.16508706 0.08159347 0.08349359 0.07861666 
1.20 0.16505857 0.08158222 0.08347635 0.07855826 
1.21 0.16502037 0.08156623 0.08345415 0.07849608 
1.22 0.16497241 0.08154546 0.08342696 0.07843008 
1.23 0.16491461 0.08151987 0.08339474 0.07836024 
1.24 0.16484690 0.08148944 0.08335746 0.07828653 
1.25 0.16476922 0.08145414 0.08331508 0.07820894 
1.26 0.16468151 0.08141392 0.08326759 0.07812744 
1.27 0.16458371 0.08136877 0.08321494 0.07804200 
1.28 0.16447577 0.08131866 0.08315712 0.07795261 
1.29 0.16435765 0.08126355 0.08309409 0.07785925 
1.30 0.16422928 0.08120344 0.08302584 0.07776190 
1.31 0.16409064 0.08113829 0.08295235 0.07766055 
1.32 0.16394169 0.08106809 0.08287360 0.07755518 
1.33 0.16378238 0.08099282 0.08278956 0.07744577 
1.34 0.16361268 0.08091246 0.08270023 0.07733232 
1.35 0.16343258 0.08082699 0.08260558 0.07721482 
1.36 0.16324204 0.08073642 0.08250562 0.07709324 
1.37 0.16304103 0.08064071 0.08240032 0.07696760 
1.38 0.16282955 0.08053987 0.08228969 0.07683787 
1.39 0.16260758 0.08043388 0.08217371 0.07670406 
1.40 0.16237511 0.08032273 0.08205237 0.07656616 
1.41 0.16213212 0.08020643 0.08192569 0.07642416 
1.42 0.16187862 0.08008497 0.08179364 0.07627806 
1.43 0.16161460 0.07995835 0.08165625 0.07612786 
1.44 0.16134006 0.07982656 0.08151350 0.07597357 
1.45 0.16105501 0.07968962 0.08136540 0.07581518 
1.46 0.16075946 0.07954751 0.08121195 0.07565270 
1.47 0.16045342 0.07940025 0.08105317 0.07548613 
1.48 0.16013691 0.07924784 0.08088906 0.07531548 
1.49 0.15980994 0.07909030 0.08071964 0.07514075 
1.50 0.15947253 0.07892762 0.08054491 0.07496195 
1.51 0.15912471 0.07875982 0.08036489 0.07477908 
1.52 0.15876651 0.07858692 0.08017959 0.07459217 
1.53 0.15839795 0.07840892 0.07998903 0.07440122 
1.54 0.15801908 0.07822584 0.07979324 0.07420625 
1.55 0.15762992 0.07803770 0.07959222 0.07400726 
1.56 0.15723053 0.07784452 0.07938600 0.07380427 
1.57 0.15682093 0.07764632 0.07917461 0.07359730 
1.58 0.15640118 0.07744311 0.07895807 0.07338637 
1.59 0.15597133 0.07723493 0.07873640 0.07317149 
1.60 0.15553142 0.07702179 0.07850964 0.07295268 
1.61 0.15508152 0.07680372 0.07827780 0.07272997 
1.62 0.15462168 0.07658074 0.07804093 0.07250337 
1.63 0.15415195 0.07635290 0.07779906 0.07227291 
1.64 0.15367241 0.07612020 0.07755221 0.07203861 
1.65 0.15318312 0.07588270 0.07730042 0.07180050 
1.66 0.15268415 0.07564041 0.07704374 0.07155860 
1.67 0.15217556 0.07539337 0.07678219 0.07131294 
1.68 0.15165744 0.07514162 0.07651582 0.07106355 
1.69 0.15112986 0.07488520 0.07624466 0.07081045 
1.70 0.15059289 0.07462413 0.07596876 0.07055368 
1.71 0.15004663 0.07435846 0.07568816 0.07029327 
1.72 0.14949115 0.07408824 0.07540291 0.07002925 
1.73 0.14892654 0.07381349 0.07511305 0.06976165 
1.74 0.14835289 0.07353427 0.07481862 0.06949051 
1.75 0.14777029 0.07325061 0.07451968 0.06921586 
1.76 0.14717883 0.07296256 0.07421627 0.06893774 
1.77 0.14657862 0.07267017 0.07390845 0.06865618 
1.78 0.14596975 0.07237349 0.07359626 0.06837123 
1.79 0.14535231 0.07207256 0.07327976 0.06808291 
1.80 0.14472642 0.07176742 0.07295900 0.06779127 
1.81 0.14409218 0.07145814 0.07263403 0.06749636 
1.82 0.14344969 0.07114477 0.07230492 0.06719820 
1.83 0.14279907 0.07082735 0.07197172 0.06689685 
1.84 0.14214042 0.07050594 0.07163448 0.06659234 
1.85 0.14147386 0.07018059 0.07129327 0.06628472 
1.86 0.14079950 0.06985136 0.07094814 0.06597404 
1.87 0.14011746 0.06951830 0.07059916 0.06566033 
1.88 0.13942787 0.06918148 0.07024639 0.06534365 
1.89 0.13873083 0.06884095 0.06988988 0.06502404 
1.90 0.13802648 0.06849677 0.06952971 0.06470155 
1.91 0.13731493 0.06814899 0.06916594 0.06437622 
1.92 0.13659632 0.06779769 0.06879863 0.06404810 
1.93 0.13587076 0.06744292 0.06842784 0.06371725 
1.94 0.13513840 0.06708474 0.06805365 0.06338371 
1.95 0.13439935 0.06672323 0.06767613 0.06304754 
1.96 0.13365376 0.06635843 0.06729533 0.06270878 
1.97 0.13290175 0.06599042 0.06691133 0.06236748 
1.98 0.13214346 0.06561926 0.06652420 0.06202370 
1.99 0.13137903 0.06524502 0.06613401 0.06167750 
2.00 0.13060859 0.06486776 0.06574083 0.06132892 
2.01 0.12983229 0.06448755 0.06534473 0.06097801 
2.02 0.12905025 0.06410447 0.06494579 0.06062484 
2.03 0.12826263 0.06371857 0.06454407 0.06026945 
2.04 0.12746957 0.06332993 0.06413964 0.05991190 
2.05 0.12667121 0.06293861 0.06373259 0.05955225 
2.06 0.12586769 0.06254470 0.06332299 0.05919056 
2.07 0.12505915 0.06214825 0.06291090 0.05882687 
2.08 0.12424575 0.06174934 0.06249641 0.05846125 
2.09 0.12342764 0.06134804 0.06207959 0.05809375 
2.10 0.12260495 0.06094443 0.06166052 0.05772443 
2.11 0.12177784 0.06053857 0.06123927 0.05735335 
2.12 0.12094645 0.06013054 0.06081591 0.05698056 
2.13 0.12011094 0.05972041 0.06039053 0.05660612 
2.14 0.11927145 0.05930825 0.05996320 0.05623010 
2.15 0.11842814 0.05889414 0.05953400 0.05585255 
2.16 0.11758116 0.05847816 0.05910301 0.05547353 
2.17 0.11673066 0.05806037 0.05867029 0.05509309 
2.18 0.11587678 0.05764085 0.05823594 0.05471130 
2.19 0.11501969 0.05721967 0.05780002 0.05432822 
2.20 0.11415954 0.05679692 0.05736262 0.05394390 
2.21 0.11329647 0.05637266 0.05692381 0.05355841 
2.22 0.11243064 0.05594697 0.05648367 0.05317180 
2.23 0.11156220 0.05551992 0.05604228 0.05278414 
2.24 0.11069131 0.05509160 0.05559971 0.05239548 
2.25 0.10981811 0.05466207 0.05515605 0.05200588 
2.26 0.10894277 0.05423141 0.05471136 0.05161541 
2.27 0.10806543 0.05379969 0.05426574 0.05122412 
2.28 0.10718624 0.05336699 0.05381925 0.05083207 
2.29 0.10630536 0.05293339 0.05337197 0.05043932 
2.30 0.10542293 0.05249895 0.05292398 0.05004593 
2.31 0.10453912 0.05206376 0.05247535 0.04965197 
2.32 0.10365407 0.05162789 0.05202617 0.04925748 
2.33 0.10276792 0.05119141 0.05157651 0.04886253 
2.34 0.10188084 0.05075440 0.05112644 0.04846718 
2.35 0.10099296 0.05031692 0.05067604 0.04807148 
2.36 0.10010445 0.04987906 0.05022539 0.04767550 
2.37 0.09921544 0.04944089 0.04977455 0.04727929 
